Time,X-Gyro,Y-Gyro,Z-Gyro,X-Accel,Y-Accel,Z-Accel
0.471,-4048.00,-10356.00,-12400.00,-371.00,343.00,39.00
0.574,-3972.00,-10212.00,-12364.00,-239.00,328.00,4.00
0.679,-4112.00,-10232.00,-12360.00,-431.00,276.00,56.00
0.781,-4052.00,-10312.00,-12320.00,-51.00,304.00,22.00
0.886,-3844.00,-10320.00,-12552.00,302.00,450.00,-71.00
0.988,-4060.00,-10372.00,-12512.00,-349.00,391.00,0.00
1.093,-4172.00,-10280.00,-12524.00,-645.00,205.00,-229.00
1.196,-4112.00,-10392.00,-12404.00,-238.00,372.00,80.00
1.300,-4244.00,-10296.00,-12520.00,-793.00,256.00,12.00
1.403,-4064.00,-10268.00,-12324.00,-239.00,369.00,60.00
1.507,-4248.00,-10248.00,-12320.00,-483.00,384.00,26.00
1.610,-4232.00,-10272.00,-12528.00,-649.00,295.00,-12.00
1.714,-4172.00,-10332.00,-12376.00,-332.00,258.00,-3.00
1.921,-4112.00,-10196.00,-12208.00,-175.00,351.00,-8.00
2.024,-4176.00,-10300.00,-12440.00,-244.00,344.00,29.00
2.128,-4056.00,-10200.00,-12376.00,-636.00,351.00,29.00
2.231,-4144.00,-10248.00,-12396.00,-342.00,334.00,-11.00
2.334,-4104.00,-10304.00,-12404.00,-496.00,286.00,78.00
2.438,-4220.00,-10300.00,-12516.00,-499.00,386.00,-43.00
2.541,-4052.00,-10472.00,-12308.00,-105.00,412.00,67.00
2.645,-4180.00,-10088.00,-12300.00,-499.00,154.00,-90.00
2.748,-4248.00,-10388.00,-12292.00,-361.00,367.00,21.00
2.852,-4136.00,-10308.00,-12392.00,-197.00,357.00,154.00
2.955,-4272.00,-10428.00,-12280.00,-125.00,337.00,92.00
3.059,-4052.00,-10356.00,-12396.00,-353.00,349.00,103.00
3.162,-4148.00,-10364.00,-12264.00,-196.00,343.00,124.00
3.266,-4104.00,-10316.00,-12288.00,-14.00,461.00,292.00
3.368,-4160.00,-10336.00,-12240.00,-369.00,302.00,6.00
3.473,-4148.00,-10308.00,-12356.00,-249.00,287.00,142.00
3.576,-4048.00,-10292.00,-12400.00,-307.00,329.00,40.00
3.680,-4048.00,-10256.00,-12428.00,-590.00,323.00,10.00
3.783,-4156.00,-10320.00,-12312.00,-447.00,344.00,14.00
3.887,-4136.00,-10252.00,-12288.00,-513.00,261.00,-46.00
3.990,-3872.00,-10360.00,-12304.00,-380.00,343.00,28.00
4.094,-4128.00,-10288.00,-12364.00,-537.00,284.00,-8.00
4.197,-4240.00,-10348.00,-12348.00,-414.00,253.00,31.00
4.300,-4044.00,-10376.00,-12476.00,-303.00,328.00,48.00
4.404,-4188.00,-10376.00,-12480.00,-663.00,358.00,-26.00
4.611,-4124.00,-10128.00,-12428.00,-189.00,342.00,76.00
4.714,-3996.00,-10456.00,-12448.00,-253.00,380.00,43.00
4.818,-4168.00,-10228.00,-12264.00,-304.00,313.00,21.00
4.919,-4072.00,-10380.00,-12344.00,-287.00,371.00,4.00
5.025,-4088.00,-10360.00,-12456.00,-345.00,379.00,11.00
5.128,-4236.00,-10340.00,-12572.00,-353.00,350.00,98.00
5.230,-4084.00,-10180.00,-12388.00,-170.00,363.00,3.00
5.334,-4120.00,-10284.00,-12372.00,-332.00,347.00,9.00
5.438,-4144.00,-10280.00,-12476.00,-646.00,280.00,-10.00
5.542,-4152.00,-10340.00,-12464.00,-404.00,345.00,34.00
5.644,-4080.00,-10252.00,-12360.00,-467.00,313.00,4.00
5.748,-4160.00,-10204.00,-12380.00,-462.00,332.00,-5.00
5.852,-4080.00,-10344.00,-12368.00,-437.00,359.00,31.00
5.956,-4100.00,-10312.00,-12428.00,-480.00,326.00,16.00
6.059,-4184.00,-10204.00,-12432.00,-289.00,390.00,100.00
6.162,-4052.00,-10312.00,-12424.00,-369.00,332.00,45.00
6.266,-4104.00,-10276.00,-12336.00,-377.00,387.00,112.00
6.369,-4212.00,-10200.00,-12328.00,-370.00,297.00,-18.00
6.473,-4112.00,-10360.00,-12336.00,-416.00,335.00,40.00
6.576,-4156.00,-10376.00,-12420.00,-382.00,342.00,24.00
6.680,-4072.00,-10312.00,-12400.00,-362.00,366.00,40.00
6.783,-4164.00,-10244.00,-12392.00,-374.00,349.00,32.00
6.887,-4200.00,-10396.00,-12380.00,-468.00,346.00,-1.00
6.990,-4132.00,-10224.00,-12440.00,-409.00,355.00,11.00
7.094,-4172.00,-10240.00,-12356.00,-487.00,303.00,19.00
7.197,-4052.00,-10300.00,-12608.00,-407.00,337.00,31.00
7.300,-4088.00,-10376.00,-12408.00,-405.00,347.00,29.00
7.404,-4116.00,-10324.00,-12492.00,-423.00,313.00,36.00
7.508,-4144.00,-10408.00,-12496.00,-326.00,318.00,20.00
7.611,-4112.00,-10448.00,-12328.00,-334.00,333.00,25.00
7.715,-4044.00,-10296.00,-12308.00,-437.00,335.00,29.00
7.818,-4168.00,-10256.00,-12240.00,-370.00,316.00,35.00
7.921,-4236.00,-10364.00,-12456.00,-368.00,340.00,13.00
8.025,-4016.00,-10276.00,-12280.00,-497.00,338.00,56.00
8.128,-4076.00,-10276.00,-12328.00,-455.00,245.00,25.00
8.232,-4048.00,-10328.00,-12436.00,-643.00,289.00,55.00
8.335,-4164.00,-10316.00,-12344.00,-369.00,335.00,18.00
8.439,-4164.00,-10288.00,-12320.00,-518.00,308.00,32.00
8.542,-4156.00,-10320.00,-12516.00,-321.00,339.00,38.00
8.646,-4128.00,-10396.00,-12484.00,-443.00,322.00,33.00
8.749,-4160.00,-10384.00,-12436.00,-385.00,332.00,28.00
8.852,-4300.00,-10284.00,-12532.00,-481.00,267.00,13.00
8.956,-4104.00,-10268.00,-12444.00,-461.00,348.00,-7.00
9.059,-4156.00,-10264.00,-12420.00,-355.00,330.00,52.00
9.163,-4044.00,-10176.00,-12248.00,-257.00,321.00,13.00
9.266,-4112.00,-10340.00,-12432.00,-335.00,348.00,17.00
9.370,-4108.00,-10340.00,-12364.00,-400.00,310.00,18.00
9.474,-4184.00,-10348.00,-12388.00,-353.00,322.00,41.00
9.577,-4064.00,-10292.00,-12444.00,-399.00,338.00,45.00
9.680,-4160.00,-10276.00,-12440.00,-307.00,328.00,38.00
9.784,-3936.00,-10328.00,-12368.00,-419.00,334.00,-76.00
9.887,-4168.00,-10364.00,-12436.00,-537.00,304.00,-40.00
9.991,-4008.00,-10328.00,-12408.00,-503.00,349.00,-104.00
10.094,-4228.00,-10212.00,-12392.00,-460.00,328.00,15.00
10.198,-4140.00,-10328.00,-12552.00,-500.00,183.00,30.00
10.300,-4180.00,-10224.00,-12528.00,-468.00,313.00,1.00
10.405,-4244.00,-10324.00,-12368.00,-435.00,369.00,-14.00
10.508,-4108.00,-10252.00,-12412.00,-267.00,366.00,34.00
10.611,-4160.00,-10376.00,-12420.00,-248.00,326.00,50.00
10.715,-4220.00,-10368.00,-12440.00,-221.00,338.00,41.00
10.818,-4140.00,-10384.00,-12288.00,-312.00,336.00,15.00
10.922,-4084.00,-10336.00,-12448.00,-343.00,358.00,14.00
11.024,-4132.00,-10332.00,-12416.00,-304.00,328.00,8.00
11.128,-4040.00,-10296.00,-12364.00,-315.00,341.00,30.00
11.232,-4092.00,-10348.00,-12480.00,-468.00,319.00,13.00
11.335,-4052.00,-10288.00,-12388.00,-336.00,346.00,8.00
11.439,-4164.00,-10224.00,-12312.00,-444.00,330.00,34.00
